image_name,roi_num,r_chlorophyll_a_max,r_chlorophyll_a_min,r_chlorophyll_a_mean,r_chlorophyll_a_exp,g_fitc_max,g_fitc_min,g_fitc_mean,g_fitc_exp,b_dapi_max,b_dapi_min,b_dapi_mean,b_dapi_exp,area,centroid_1,centroid_2,major_length,minor_length,perimeter
CaseStudy2.czi,123,6818,3251,5612.857848,37.088,1599,669,1091.955577,1209.493,1898,478,737.9516288,450,1013,2104.561698,386.0691017,42.40589117,30.46803806,113.335
CaseStudy2.czi,124,136,72,104.7020868,37.088,6585,2365,4479.420005,1209.493,7398,1165,2503.137443,450,4169,2143.21516,26.14775726,94.4838131,57.11216581,242.458
CaseStudy2.czi,125,7091,2583,5579.086675,37.088,1337,608,1023.119017,1209.493,1747,560,906.5937904,450,773,2126.216041,1988.065977,36.12313908,27.36380088,99.383
CaseStudy2.czi,126,7241,2726,5835.99026,37.088,1966,642,1286.842532,1209.493,1934,668,1002.220779,450,616,2123.446429,1559.275974,36.71731134,21.63077809,91.964
CaseStudy2.czi,127,5332,133,519.4333026,37.088,10425,1501,5707.301661,1209.493,12422,607,2777.129797,450,10840,2197.776753,1562.574631,155.261468,94.48234095,452.588
CaseStudy2.czi,128,6768,3281,5600.858661,37.088,1812,611,1074.368757,1209.493,1992,491,746.6801275,450,941,2151.680128,1268.193411,37.69976189,31.83853756,106.669
CaseStudy2.czi,129,7064,1947,5631.141519,37.088,1948,628,1140.099896,1209.493,4214,540,939.5057232,450,961,2179.129032,1384.879292,41.7942209,29.36315465,110.531
CaseStudy2.czi,130,6952,2304,5291.724846,37.088,1566,574,1046.082136,1209.493,3748,676,1351.135524,450,487,2181.835729,1415.659138,27.95944366,22.63723017,79.154
CaseStudy2.czi,131,6262,2373,5120.560217,37.088,1597,625,1060.316644,1209.493,2522,603,1015.675237,450,739,2188.824087,788.5683356,38.2709467,24.67975809,98.655
CaseStudy2.czi,132,7865,3113,6170.47486,37.088,1806,545,1152.568236,1209.493,2108,592,917.2841181,450,1253,2200.205108,2075.056664,49.17062631,32.52953957,127.064
CaseStudy2.czi,133,5641,1691,4556.840878,37.088,1825,648,1082.628258,1209.493,2295,538,970.0288066,450,729,2233.355281,1049.685871,32.30553727,28.83769313,94.14
CaseStudy2.czi,134,6439,2842,5019.151565,37.088,1500,660,1058.448105,1209.493,1962,594,941.7067545,450,607,2253.802306,407.6705107,31.5445148,24.63069856,88.351
CaseStudy2.czi,135,6723,2800,5463.666016,37.088,2079,662,1168.305664,1209.493,2724,486,830.4082031,450,1024,2267.8125,814.4599609,43.06030967,30.46946418,115.866
CaseStudy2.czi,136,5414,183,749.6139125,37.088,8493,2121,5445.697953,1209.493,11250,554,2626.114329,450,6009,2287.802297,1429.99534,106.085295,72.53818556,289.913
CaseStudy2.czi,137,8566,1217,6809.419255,37.088,4325,704,1451.396739,1209.493,2962,478,790.2034161,450,1288,2282.712733,1595.559783,43.51867956,38.03313351,128.651
CaseStudy2.czi,138,7107,2816,5552.482718,37.088,1861,579,1109.63528,1209.493,3322,541,953.9761621,450,839,2293.24553,793.6340882,40.90808855,26.31694467,106.454
CaseStudy2.czi,139,7453,1161,5434.816393,37.088,2214,687,1259.178689,1209.493,5698,539,1310.85082,450,610,2285.881967,1363.537705,33.25193972,23.60345229,89.765
CaseStudy2.czi,140,6763,2479,5332.622155,37.088,1744,597,1053.169954,1209.493,5404,639,1262.221548,450,659,2313.314112,1090.509863,30.83200903,27.29577624,88.574
CaseStudy2.czi,141,8318,1686,6538.70632,37.088,2178,709,1415.460967,1209.493,2283,569,955.0681537,450,807,2337.842627,1442.859975,40.56920962,25.97781468,106.536
CaseStudy2.czi,142,152,67,110.6807317,37.088,6758,2315,4578.127832,1209.493,14515,1175,3393.594471,450,4811,2376.784452,750.7750987,98.84256017,62.23548881,266.4
CaseStudy2.czi,143,6995,2923,5542.365424,37.088,1887,665,1192.39441,1209.493,2600,639,1092.332298,450,966,2350.251553,1148.825052,43.03345669,28.66675767,111.755
CaseStudy2.czi,144,7145,2995,5680.67583,37.088,1665,598,1135.36197,1209.493,1605,566,894.8178694,450,873,2378.750286,1699.178694,41.15465753,27.14227466,106.612
CaseStudy2.czi,145,6320,2724,5168.836538,37.088,1343,613,980.7371795,1209.493,1737,596,1022.133013,450,624,2426.360577,1186.463141,31.25847189,25.70764224,88.59
CaseStudy2.czi,146,7047,2549,5596.987429,37.088,2028,587,1157.580571,1209.493,2918,610,997.9394286,450,875,2500.617143,1858.460571,38.79407194,28.86037201,107.158
CaseStudy2.czi,147,6848,2289,5360.774908,37.088,1661,582,1123.845018,1209.493,1969,593,959.7884379,450,813,2525.98032,1830.718327,38.25567354,27.11472167,100.64
CaseStudy2.czi,148,6207,2990,4902.671485,37.088,1492,661,1047.09724,1209.493,2316,501,956.9829172,450,761,2543.162943,354.3929041,39.06609668,24.87589984,100.384
CaseStudy2.czi,149,6706,2380,5368.056836,37.088,1612,595,1078.768049,1209.493,2374,602,1038.984639,450,651,2572.669739,1351.788018,35.42996013,23.50485179,91.7
CaseStudy2.czi,150,6510,2919,5287.879482,37.088,1709,677,1150.187251,1209.493,1710,559,878.1205179,450,1004,2618.305777,1147.300797,46.45769756,27.63483737,115.238
CaseStudy2.czi,151,6575,2647,5235.698898,37.088,1876,663,1145.106487,1209.493,3226,586,991.2643819,450,817,2612.897185,2094.701346,38.71652831,26.95534195,101.293
CaseStudy2.czi,152,6475,3158,5134.219196,37.088,1371,668,1030.417639,1209.493,1676,453,724.8754864,450,771,2659.894942,469.4552529,34.54344602,28.5109862,97.456
CaseStudy2.czi,153,6772,3120,5336.334487,37.088,1640,530,1082.915802,1209.493,2054,437,825.4590542,450,867,2738.046136,178.6620531,40.59286091,28.11199812,116.279
CaseStudy2.czi,154,6237,3529,4850.284768,37.088,1151,610,854.9536424,1209.493,1203,502,702.5827815,450,151,2749.072848,802.3178808,23.85367246,8.625797552,51.895
